BADANIE;07:22:44;;;;
metoda:;nearest-neighbour;;;;
konfiguracja:;branches=2         , input_files=g/gr6.txt,g/gr7.txt,g/gr8.txt,g/gr9.txt,g/gr10.txt,g/gr11.txt,g/gr12.txt,g/gr13.txt,g/gr14.txt,g/gr15.txt,g/gr16.txt,g/gr17.txt,g/gr18.txt,g/gr19.txt,g/gr20.txt, iterations=15, max_exec_time_s=1800, search_type=1            , starting_node_bb=-1          # warto, starting_node_nn=-1          # warto, ;;;;
;;;;;
sredni czas [us];blad bezwzgledny;blad bezwzgledny x2;blad wzgledny [%];;
43;36.9333;73.8667;30.2732;;
;;;;;
;;;;;
plik:;g/gr13.txt;;;;
wynik optymalny:;266;;;;
liczba wierzcholkow:;13;;;;
iteracja;czas [us];wynik;blad bezwzgledny;blad wzgledny;sciezka
1;40;302;36;13.5338;3 0 1 2 7 6 4 5 10 8 12 11 9 3
2;41;292;26;9.77444;8 2 0 1 12 7 6 4 5 10 11 9 3 8
3;56;291;25;9.3985;5 10 0 1 2 7 6 4 3 9 11 12 8 5
4;41;292;26;9.77444;9 4 5 10 0 1 2 7 6 11 12 3 8 9
5;38;303;37;13.9098;12 7 6 1 2 0 4 5 10 8 9 3 11 12
6;36;300;34;12.782;6 7 11 12 10 0 1 2 5 3 9 4 8 6
7;41;307;41;15.4135;0 1 2 7 6 4 5 10 8 12 3 9 11 0
8;40;303;37;13.9098;7 6 1 2 0 12 10 8 5 3 9 4 11 7
9;44;292;26;9.77444;8 2 0 1 12 7 6 4 5 10 11 9 3 8
10;43;303;37;13.9098;12 7 6 1 2 0 4 5 10 8 9 3 11 12
11;42;303;37;13.9098;11 12 7 6 1 2 0 4 5 10 8 9 3 11
12;43;307;41;15.4135;0 1 2 7 6 4 5 10 8 12 3 9 11 0
13;41;302;36;13.5338;3 0 1 2 7 6 4 5 10 8 12 11 9 3
14;41;291;25;9.3985;5 10 0 1 2 7 6 4 3 9 11 12 8 5
15;43;303;37;13.9098;7 6 1 2 0 12 10 8 5 3 9 4 11 7
