

BADANIE;00:08:17
metoda:;nearest-neighbour
konfiguracja:;branches=2         , input_files=g/gr6.txt,g/gr7.txt,g/gr8.txt,g/gr9.txt,g/gr10.txt,g/gr11.txt,g/gr12.txt,g/gr13.txt,g/gr14.txt,g/gr15.txt,g/gr16.txt,g/gr17.txt,g/gr18.txt,g/gr19.txt,g/gr20.txt, iterations=15, max_exec_time_s=1800, search_type=2            , starting_node_bb=-1          # warto, starting_node_nn=-1          # warto, 

plik:;g/gr6.txt
wynik optymalny:;132
liczba wierzcholkow:;6
iteracja;czas [ms];wynik;blad bezwzgledny;blad wzgledny;sciezka
9;0;251;0;0;0 10 3 5 7 9 2 6 4 8 1 0
10;0;251;0;0;9 7 5 3 10 0 1 8 4 6 2 9
11;0;283;32;12.749;10 3 5 7 9 8 4 6 2 1 0 10
12;0;283;32;12.749;0 1 7 9 2 6 4 8 5 3 10 0
13;0;328;77;30.6773;4 8 1 7 9 2 6 5 3 10 0 4
14;0;310;59;23.506;1 7 9 2 6 8 4 0 10 3 5 1
15;0;345;94;37.4502;6 8 4 1 7 9 2 5 3 10 0 6
sredni czas [ms];blad bezwzgledny;blad bezwzgledny x2;blad wzgledny [%]
0;26;52;20.7171


plik:;g/gr12s.txt
wynik optymalny:;264
liczba wierzcholkow:;12
iteracja;czas [ms];wynik;blad bezwzgledny;blad wzgledny;sciezka
1;0;264;0;0;7 9 11 2 6 4 8 1 0 10 3 5 7
2;0;283;19;7.19697;7 9 11 2 6 8 4 1 0 10 3 5 7
3;0;355;91;34.4697;2 11 9 7 1 8 4 6 5 3 10 0 2
4;0;264;0;0;9 7 5 3 10 0 1 8 4 6 2 11 9
5;0;355;91;34.4697;2 11 9 7 1 8 4 6 5 3 10 0 2
6;0;296;32;12.1212;5 3 10 0 1 7 9 11 2 6 4 8 5
7;0;283;19;7.19697;10 3 5 7 9 11 2 6 8 4 1 0 10
8;0;339;75;28.4091;6 4 8 1 7 9 11 2 5 3 10 0 6
9;0;264;0;0;6 2 11 9 7 5 3 10 0 1 8 4 6
10;0;264;0;0;8 4 6 2 11 9 7 5 3 10 0 1 8
11;0;283;19;7.19697;3 5 7 9 11 2 6 8 4 1 0 10 3
12;0;264;0;0;9 7 5 3 10 0 1 8 4 6 2 11 9
13;0;264;0;0;7 9 11 2 6 4 8 1 0 10 3 5 7
14;0;306;42;15.9091;9 7 1 8 4 6 2 11 5 3 10 0 9
15;0;283;19;7.19697;10 3 5 7 9 11 2 6 8 4 1 0 10
sredni czas [ms];blad bezwzgledny;blad bezwzgledny x2;blad wzgledny [%]
0;27.1333;54.2667;20.5556


plik:;g/gr13s.txt
wynik optymalny:;269
liczba wierzcholkow:;13
iteracja;czas [ms];wynik;blad bezwzgledny;blad wzgledny;sciezka
1;0;269;0;0;9 7 5 3 10 0 12 1 8 4 6 2 11 9
2;0;301;32;11.8959;2 11 9 7 1 12 0 10 3 5 8 4 6 2
3;0;288;19;7.0632;11 2 6 8 4 1 12 0 10 3 5 7 9 11
4;0;301;32;11.8959;6 2 11 9 7 1 12 0 10 3 5 8 4 6
5;0;269;0;0;10 3 5 7 9 11 2 6 4 8 1 12 0 10
6;0;269;0;0;9 7 5 3 10 0 12 1 8 4 6 2 11 9
7;0;308;39;14.4981;9 7 1 12 0 10 3 5 11 2 6 8 4 9
8;0;269;0;0;1 12 0 10 3 5 7 9 11 2 6 4 8 1
9;0;269;0;0;9 7 5 3 10 0 12 1 8 4 6 2 11 9
10;0;269;0;0;2 11 9 7 5 3 10 0 12 1 8 4 6 2
11;0;301;32;11.8959;6 2 11 9 7 1 12 0 10 3 5 8 4 6
12;0;301;32;11.8959;6 2 11 9 7 1 12 0 10 3 5 8 4 6
13;0;269;0;0;1 12 0 10 3 5 7 9 11 2 6 4 8 1
14;0;288;19;7.0632;1 12 0 10 3 5 7 9 11 2 6 8 4 1
15;0;301;32;11.8959;6 2 11 9 7 1 12 0 10 3 5 8 4 6
sredni czas [ms];blad bezwzgledny;blad bezwzgledny x2;blad wzgledny [%]
0;15.8;31.6;11.7472


plik:;g/gr14s.txt
wynik optymalny:;282
liczba wierzcholkow:;14
iteracja;czas [ms];wynik;blad bezwzgledny;blad wzgledny;sciezka
1;0;309;27;9.57447;6 8 4 1 12 0 10 3 5 7 9 11 13 2 6
2;0;290;8;2.83688;6 4 8 1 12 0 10 3 5 7 9 11 13 2 6
3;0;282;0;0;8 4 6 2 11 13 9 7 5 3 10 0 12 1 8
4;0;322;40;14.1844;5 3 10 0 12 1 7 9 11 13 2 6 4 8 5
5;0;308;26;9.21986;7 9 11 13 5 3 10 0 12 1 8 4 6 2 7
6;0;309;27;9.57447;1 12 0 10 3 5 7 9 11 13 2 6 8 4 1
7;0;333;51;18.0851;4 8 6 2 11 13 9 7 1 12 0 10 3 5 4
8;0;282;0;0;0 12 1 8 4 6 2 11 13 9 7 5 3 10 0
9;0;309;27;9.57447;6 8 4 1 12 0 10 3 5 7 9 11 13 2 6
10;0;294;12;4.25532;9 7 1 12 0 10 3 5 13 11 2 6 4 8 9
11;0;290;8;2.83688;13 11 9 7 5 3 10 0 12 1 8 4 6 2 13
12;0;282;0;0;8 4 6 2 11 13 9 7 5 3 10 0 12 1 8
13;0;290;8;2.83688;1 12 0 10 3 5 7 9 11 13 2 6 4 8 1
14;0;290;8;2.83688;10 3 5 7 9 11 13 2 6 4 8 1 12 0 10
15;0;282;0;0;9 7 5 3 10 0 12 1 8 4 6 2 11 13 9
sredni czas [ms];blad bezwzgledny;blad bezwzgledny x2;blad wzgledny [%]
0;16.1333;32.2667;11.4421


plik:;g/gr15s.txt
wynik optymalny:;291
liczba wierzcholkow:;15
iteracja;czas [ms];wynik;blad bezwzgledny;blad wzgledny;sciezka
1;0;291;0;0;12 1 14 8 4 6 2 11 13 9 7 5 3 10 0 12
2;0;421;130;44.6735;3 5 7 9 11 13 2 6 8 14 1 12 0 10 4 3
3;0;291;0;0;0 12 1 14 8 4 6 2 11 13 9 7 5 3 10 0
4;0;329;38;13.0584;14 8 4 6 2 11 13 9 7 1 12 0 10 3 5 14
5;0;299;8;2.74914;8 14 1 12 0 10 3 5 7 9 11 13 2 6 4 8
6;0;299;8;2.74914;6 4 8 14 1 12 0 10 3 5 7 9 11 13 2 6
7;0;291;0;0;5 3 10 0 12 1 14 8 4 6 2 11 13 9 7 5
8;0;291;0;0;14 8 4 6 2 11 13 9 7 5 3 10 0 12 1 14
9;0;313;22;7.56014;9 7 1 12 0 10 3 5 13 11 2 6 4 8 14 9
10;0;299;8;2.74914;10 3 5 7 9 11 13 2 6 4 8 14 1 12 0 10
11;0;291;0;0;0 12 1 14 8 4 6 2 11 13 9 7 5 3 10 0
12;0;299;8;2.74914;1 12 14 8 4 6 2 11 13 9 7 5 3 10 0 1
13;0;299;8;2.74914;8 14 1 12 0 10 3 5 7 9 11 13 2 6 4 8
14;0;291;0;0;11 13 9 7 5 3 10 0 12 1 14 8 4 6 2 11
15;0;358;67;23.0241;13 11 2 6 8 14 1 12 0 10 3 5 7 9 4 13
sredni czas [ms];blad bezwzgledny;blad bezwzgledny x2;blad wzgledny [%]
0;19.8;39.6;13.6082


plik:;g/gr16s.txt
wynik optymalny:;268
liczba wierzcholkow:;16
iteracja;czas [ms];wynik;blad bezwzgledny;blad wzgledny;sciezka
1;0;294;26;9.70149;15 11 8 4 12 6 5 9 0 3 14 10 1 13 2 7 15
2;0;315;47;17.5373;9 0 3 14 10 15 11 8 4 12 6 5 1 13 2 7 9
3;0;285;17;6.34328;7 2 6 12 4 8 11 15 10 14 3 9 0 13 1 5 7
4;0;294;26;9.70149;15 11 8 4 12 6 5 9 0 3 14 10 1 13 2 7 15
5;0;307;39;14.5522;11 15 10 14 3 9 0 13 12 4 8 7 2 6 5 1 11
6;0;294;26;9.70149;15 11 8 4 12 6 5 9 0 3 14 10 1 13 2 7 15
7;0;285;17;6.34328;7 2 6 12 4 8 11 15 10 14 3 9 0 13 1 5 7
8;0;279;11;4.10448;5 6 12 4 8 11 15 10 14 3 9 0 13 1 2 7 5
9;0;279;11;4.10448;5 6 12 4 8 11 15 10 14 3 9 0 13 1 2 7 5
10;0;280;12;4.47761;13 14 10 15 11 8 4 12 6 5 9 0 3 2 7 1 13
11;0;294;26;9.70149;8 11 15 10 14 3 9 0 13 12 4 6 5 1 2 7 8
12;0;307;39;14.5522;11 15 10 14 3 9 0 13 12 4 8 7 2 6 5 1 11
13;0;280;12;4.47761;13 14 10 15 11 8 4 12 6 5 9 0 3 2 7 1 13
14;0;301;33;12.3134;1 9 0 3 14 10 15 11 8 4 12 6 5 13 2 7 1
15;0;311;43;16.0448;0 9 3 14 10 15 11 8 4 12 6 5 1 13 2 7 0
sredni czas [ms];blad bezwzgledny;blad bezwzgledny x2;blad wzgledny [%]
0;25.6667;51.3333;19.1542


plik:;g/gr17s.txt
wynik optymalny:;292
liczba wierzcholkow:;17
iteracja;czas [ms];wynik;blad bezwzgledny;blad wzgledny;sciezka
1;0;312;20;6.84932;15 11 8 4 12 6 5 9 0 3 14 10 1 13 2 7 16 15
2;0;316;24;8.21918;9 0 3 14 10 15 11 8 4 12 6 5 1 13 2 7 16 9
3;0;327;35;11.9863;10 14 3 9 0 13 12 4 8 11 15 6 5 1 2 7 16 10
4;0;331;39;13.3562;1 9 0 3 14 10 15 11 8 4 12 6 5 13 2 7 16 1
5;0;336;44;15.0685;0 9 3 14 10 15 11 8 4 12 6 5 1 13 2 7 16 0
6;0;325;33;11.3014;8 11 15 10 14 3 9 0 13 12 4 6 5 1 2 7 16 8
7;0;316;24;8.21918;9 0 3 14 10 15 11 8 4 12 6 5 1 13 2 7 16 9
8;0;310;18;6.16438;13 14 10 15 11 8 4 12 6 5 9 0 3 2 7 16 1 13
9;0;316;24;8.21918;9 0 3 14 10 15 11 8 4 12 6 5 1 13 2 7 16 9
10;0;331;39;13.3562;1 9 0 3 14 10 15 11 8 4 12 6 5 13 2 7 16 1
11;0;324;32;10.9589;4 12 6 5 9 0 3 14 10 15 11 8 7 2 16 1 13 4
12;0;336;44;15.0685;0 9 3 14 10 15 11 8 4 12 6 5 1 13 2 7 16 0
13;0;340;48;16.4384;11 15 10 14 3 9 0 13 12 4 8 7 2 16 6 5 1 11
14;0;310;18;6.16438;14 10 15 11 8 4 12 6 5 9 0 3 2 7 16 1 13 14
15;0;336;44;15.0685;0 9 3 14 10 15 11 8 4 12 6 5 1 13 2 7 16 0
sredni czas [ms];blad bezwzgledny;blad bezwzgledny x2;blad wzgledny [%]
0;32.4;64.8;22.1918


plik:;g/gr18s.txt
wynik optymalny:;294
liczba wierzcholkow:;18
iteracja;czas [ms];wynik;blad bezwzgledny;blad wzgledny;sciezka
1;0;328;34;11.5646;2 7 11 15 10 17 0 9 3 14 13 12 4 8 1 6 5 16 2
2;0;324;30;10.2041;8 17 10 14 3 9 0 13 12 4 15 11 7 2 16 6 5 1 8
3;0;328;34;11.5646;4 12 6 5 9 0 17 10 14 3 11 15 16 2 7 8 1 13 4
4;0;324;30;10.2041;13 14 3 9 0 17 10 15 11 8 4 12 6 5 1 2 7 16 13
5;0;328;34;11.5646;16 2 7 11 15 10 17 0 9 3 14 13 12 4 8 1 6 5 16
6;0;342;48;16.3265;14 3 9 0 17 10 15 11 8 4 12 6 5 1 13 2 7 16 14
7;0;344;50;17.0068;11 15 10 17 0 9 3 14 13 12 4 8 7 2 16 6 5 1 11
8;0;310;16;5.44218;5 6 12 4 8 17 10 14 3 9 0 13 1 15 11 7 2 16 5
9;0;304;10;3.40136;12 4 8 17 10 14 3 9 0 13 1 15 11 7 2 16 6 5 12
10;0;342;48;16.3265;0 9 3 14 10 17 8 11 15 4 12 6 5 1 13 2 7 16 0
11;0;324;30;10.2041;8 17 10 14 3 9 0 13 12 4 15 11 7 2 16 6 5 1 8
12;0;324;30;10.2041;8 17 10 14 3 9 0 13 12 4 15 11 7 2 16 6 5 1 8
13;0;325;31;10.5442;17 10 14 3 9 0 13 12 4 8 11 15 6 5 1 2 7 16 17
14;0;307;13;4.42177;2 7 11 15 10 17 8 4 12 6 5 9 0 3 14 13 1 16 2
15;0;304;10;3.40136;12 4 8 17 10 14 3 9 0 13 1 15 11 7 2 16 6 5 12
sredni czas [ms];blad bezwzgledny;blad bezwzgledny x2;blad wzgledny [%]
0;29.8667;59.7333;20.3175


plik:;g/gr19s.txt
wynik optymalny:;309
liczba wierzcholkow:;19
iteracja;czas [ms];wynik;blad bezwzgledny;blad wzgledny;sciezka
1;0;319;10;3.23625;2 18 11 15 10 17 8 4 12 6 5 9 0 3 14 13 1 7 16 2
2;0;322;13;4.20712;13 14 3 9 0 17 10 15 11 18 2 7 16 8 4 12 6 5 1 13
3;0;330;21;6.79612;15 11 18 2 7 16 9 0 17 10 14 3 5 6 12 4 8 1 13 15
4;0;322;13;4.20712;14 3 9 0 17 10 15 11 18 2 7 16 8 4 12 6 5 1 13 14
5;0;323;14;4.53074;7 2 18 11 15 10 17 8 4 12 6 5 9 0 3 14 13 1 16 7
6;0;326;17;5.50162;5 6 12 4 8 17 10 14 3 9 0 13 1 15 11 18 2 7 16 5
7;0;330;21;6.79612;15 11 18 2 7 16 9 0 17 10 14 3 5 6 12 4 8 1 13 15
8;0;319;10;3.23625;16 2 18 11 15 10 17 8 4 12 6 5 9 0 3 14 13 1 7 16
9;0;333;24;7.76699;14 10 17 8 11 15 4 12 6 5 9 0 3 2 18 7 16 1 13 14
10;0;340;31;10.0324;8 17 10 14 3 9 0 13 12 4 15 11 18 2 7 16 6 5 1 8
11;0;326;17;5.50162;6 12 4 8 17 10 14 3 9 0 13 1 15 11 18 2 7 16 5 6
12;0;324;15;4.85437;0 9 3 14 10 17 8 11 15 4 12 6 5 18 2 7 16 1 13 0
13;0;326;17;5.50162;6 12 4 8 17 10 14 3 9 0 13 1 15 11 18 2 7 16 5 6
14;0;323;14;4.53074;7 2 18 11 15 10 17 8 4 12 6 5 9 0 3 14 13 1 16 7
15;0;347;38;12.2977;16 2 18 11 15 10 17 0 9 3 14 13 12 4 8 7 5 6 1 16
sredni czas [ms];blad bezwzgledny;blad bezwzgledny x2;blad wzgledny [%]
0;18.3333;36.6667;11.8662


plik:;g/gr20s.txt
wynik optymalny:;330
liczba wierzcholkow:;20
iteracja;czas [ms];wynik;blad bezwzgledny;blad wzgledny;sciezka
1;0;367;37;11.2121;1 17 10 14 3 9 0 19 11 15 4 12 6 5 18 2 7 16 8 13 1
2;0;367;37;11.2121;1 17 10 14 3 9 0 19 11 15 4 12 6 5 18 2 7 16 8 13 1
3;0;380;50;15.1515;4 12 6 5 9 0 17 10 14 3 11 15 16 2 18 7 8 19 13 1 4
4;0;353;23;6.9697;12 4 8 17 10 14 3 9 0 19 11 15 6 5 18 2 7 16 1 13 12
5;0;370;40;12.1212;8 17 10 14 3 9 0 19 11 15 4 12 6 5 18 2 7 16 1 13 8
6;0;390;60;18.1818;16 2 18 11 15 10 17 0 9 3 14 13 12 4 8 7 5 6 19 1 16
7;0;371;41;12.4242;2 18 11 15 10 17 8 4 12 6 5 9 0 3 14 13 1 7 16 19 2
8;0;385;55;16.6667;14 3 9 0 17 10 15 11 18 2 7 16 19 6 12 4 8 1 13 5 14
9;0;380;50;15.1515;4 12 6 5 9 0 17 10 14 3 11 15 16 2 18 7 8 19 13 1 4
10;0;376;46;13.9394;6 12 4 8 17 10 14 3 9 0 19 11 15 16 2 18 7 5 1 13 6
11;0;371;41;12.4242;2 18 11 15 10 17 8 4 12 6 5 9 0 3 14 13 1 7 16 19 2
12;0;362;32;9.69697;17 10 14 3 9 0 19 11 15 4 12 6 5 18 2 7 16 8 1 13 17
13;0;390;60;18.1818;16 2 18 11 15 10 17 0 9 3 14 13 12 4 8 7 5 6 19 1 16
14;0;353;23;6.9697;12 4 8 17 10 14 3 9 0 19 11 15 6 5 18 2 7 16 1 13 12
15;0;390;60;18.1818;18 2 7 11 15 10 17 0 9 3 14 13 12 4 8 19 6 5 1 16 18
sredni czas [ms];blad bezwzgledny;blad bezwzgledny x2;blad wzgledny [%]
0;43.6667;87.3333;26.4646


BADANIE;01:38:30
metoda:;nearest-neighbour
konfiguracja:;branches=3         , input_files=g/gr6s.txt,g/gr7s.txt,g/gr8s.txt,g/gr9s.txt,g/gr10s.txt,g/gr11s.txt,g/gr12s.txt,g/gr13s.txt,g/gr14s.txt,g/gr15s.txt,g/gr16s.txt,g/gr17s.txt,g/gr18s.txt,g/gr19s.txt,g/gr20s.txt, iterations=15, max_exec_time_s=1800, search_type=1            , starting_node_bb=-1          # warto, starting_node_nn=-1          # warto, 

plik:;g/gr6s.txt
wynik optymalny:;158
liczba wierzcholkow:;6
iteracja;czas [ms];wynik;blad bezwzgledny;blad wzgledny;sciezka
1;1;199;41;25.9494;1 3 0 5 4 2 1
2;0;199;41;25.9494;1 3 0 5 4 2 1
3;0;216;58;36.7089;0 3 4 2 5 1 0
4;0;216;58;36.7089;0 3 4 2 5 1 0
5;0;158;0;0;3 0 5 1 4 2 3
6;0;216;58;36.7089;0 3 4 2 5 1 0
7;0;216;58;36.7089;0 3 4 2 5 1 0
8;0;158;0;0;4 2 3 0 5 1 4
9;0;158;0;0;3 0 5 1 4 2 3
10;0;158;0;0;4 2 3 0 5 1 4
11;0;192;34;21.519;2 4 3 0 5 1 2
12;0;158;0;0;3 0 5 1 4 2 3
13;0;158;0;0;4 2 3 0 5 1 4
14;0;158;0;0;4 2 3 0 5 1 4
15;0;158;0;0;4 2 3 0 5 1 4
sredni czas [ms];blad bezwzgledny;blad bezwzgledny x2;blad wzgledny [%]
0;23.2;46.4;29.3671


plik:;g/gr7s.txt
wynik optymalny:;215
liczba wierzcholkow:;7
iteracja;czas [ms];wynik;blad bezwzgledny;blad wzgledny;sciezka
1;0;257;42;19.5349;6 1 3 0 5 4 2 6
2;0;250;35;16.2791;2 4 3 0 5 1 6 2
3;0;250;35;16.2791;2 4 3 0 5 1 6 2
4;0;215;0;0;3 0 5 1 6 4 2 3
5;0;276;61;28.3721;0 3 4 2 5 1 6 0
6;0;215;0;0;4 2 3 0 5 1 6 4
7;0;215;0;0;3 0 5 1 6 4 2 3
8;0;257;42;19.5349;6 1 3 0 5 4 2 6
9;0;250;35;16.2791;2 4 3 0 5 1 6 2
10;0;257;42;19.5349;1 3 0 5 4 2 6 1
11;0;215;0;0;4 2 3 0 5 1 6 4
12;0;253;38;17.6744;5 1 3 0 2 4 6 5
13;0;257;42;19.5349;1 3 0 5 4 2 6 1
14;0;215;0;0;3 0 5 1 6 4 2 3
15;0;257;42;19.5349;1 3 0 5 4 2 6 1
sredni czas [ms];blad bezwzgledny;blad bezwzgledny x2;blad wzgledny [%]
0;27.6;55.2;25.6744


plik:;g/gr8s.txt
wynik optymalny:;202
liczba wierzcholkow:;8
iteracja;czas [ms];wynik;blad bezwzgledny;blad wzgledny;sciezka
1;0;264;62;30.6931;1 3 0 5 7 6 4 2 1
2;0;240;38;18.8119;7 6 1 3 0 5 4 2 7
3;0;204;2;0.990099;5 7 6 1 3 0 2 4 5
4;0;260;58;28.7129;0 3 4 2 5 7 6 1 0
5;0;225;23;11.3861;6 7 5 1 3 0 2 4 6
6;0;202;0;0;4 2 3 0 5 7 6 1 4
7;0;202;0;0;4 2 3 0 5 7 6 1 4
8;0;240;38;18.8119;7 6 1 3 0 5 4 2 7
9;0;236;34;16.8317;2 4 3 0 5 7 6 1 2
10;0;204;2;0.990099;5 7 6 1 3 0 2 4 5
11;0;225;23;11.3861;6 7 5 1 3 0 2 4 6
12;0;225;23;11.3861;6 7 5 1 3 0 2 4 6
13;0;264;62;30.6931;1 3 0 5 7 6 4 2 1
14;0;264;62;30.6931;1 3 0 5 7 6 4 2 1
15;0;204;2;0.990099;5 7 6 1 3 0 2 4 5
sredni czas [ms];blad bezwzgledny;blad bezwzgledny x2;blad wzgledny [%]
0;28.6;57.2;28.3168


plik:;g/gr9s.txt
wynik optymalny:;215
liczba wierzcholkow:;9
iteracja;czas [ms];wynik;blad bezwzgledny;blad wzgledny;sciezka
1;0;259;44;20.4651;2 4 3 0 5 7 6 1 8 2
2;0;216;1;0.465116;6 7 8 4 2 3 0 5 1 6
3;0;216;1;0.465116;6 7 8 4 2 3 0 5 1 6
4;0;288;73;33.9535;1 3 0 5 7 6 8 4 2 1
5;0;222;7;3.25581;7 6 1 3 0 5 4 2 8 7
6;0;244;29;13.4884;5 7 6 1 3 0 2 4 8 5
7;0;288;73;33.9535;1 3 0 5 7 6 8 4 2 1
8;0;222;7;3.25581;7 6 1 3 0 5 4 2 8 7
9;0;259;44;20.4651;2 4 3 0 5 7 6 1 8 2
10;0;288;73;33.9535;1 3 0 5 7 6 8 4 2 1
11;0;222;7;3.25581;8 7 6 1 3 0 5 4 2 8
12;0;222;7;3.25581;7 6 1 3 0 5 4 2 8 7
13;0;260;45;20.9302;4 2 3 0 5 7 6 1 8 4
14;0;288;73;33.9535;1 3 0 5 7 6 8 4 2 1
15;0;222;7;3.25581;8 7 6 1 3 0 5 4 2 8
sredni czas [ms];blad bezwzgledny;blad bezwzgledny x2;blad wzgledny [%]
0;32.7333;65.4667;30.4496


plik:;g/gr10s.txt
wynik optymalny:;212
liczba wierzcholkow:;10
iteracja;czas [ms];wynik;blad bezwzgledny;blad wzgledny;sciezka
1;0;219;7;3.30189;8 7 6 9 1 3 0 5 4 2 8
2;0;241;29;13.6792;5 7 6 9 1 3 0 2 4 8 5
3;0;241;29;13.6792;5 7 6 9 1 3 0 2 4 8 5
4;0;257;45;21.2264;4 2 3 0 5 7 6 9 1 8 4
5;0;219;7;3.30189;8 7 6 9 1 3 0 5 4 2 8
6;0;213;1;0.471698;1 9 6 7 8 4 2 3 0 5 1
7;0;219;7;3.30189;8 7 6 9 1 3 0 5 4 2 8
8;0;256;44;20.7547;2 4 3 0 5 7 6 9 1 8 2
9;0;257;45;21.2264;4 2 3 0 5 7 6 9 1 8 4
10;0;213;1;0.471698;1 9 6 7 8 4 2 3 0 5 1
11;0;256;44;20.7547;2 4 3 0 5 7 6 9 1 8 2
12;0;219;7;3.30189;8 7 6 9 1 3 0 5 4 2 8
13;0;256;44;20.7547;2 4 3 0 5 7 6 9 1 8 2
14;0;292;80;37.7358;3 0 5 7 6 9 1 4 2 8 3
15;0;213;1;0.471698;1 9 6 7 8 4 2 3 0 5 1
sredni czas [ms];blad bezwzgledny;blad bezwzgledny x2;blad wzgledny [%]
0;26.0667;52.1333;24.5912


plik:;g/gr11s.txt
wynik optymalny:;251
liczba wierzcholkow:;11
iteracja;czas [ms];wynik;blad bezwzgledny;blad wzgledny;sciezka
1;0;251;0;0;8 4 6 2 9 7 5 3 10 0 1 8
2;0;251;0;0;6 2 9 7 5 3 10 0 1 8 4 6
3;0;251;0;0;6 2 9 7 5 3 10 0 1 8 4 6
4;0;251;0;0;9 7 5 3 10 0 1 8 4 6 2 9
5;0;270;19;7.56972;4 8 6 2 9 7 5 3 10 0 1 4
6;0;251;0;0;5 3 10 0 1 8 4 6 2 9 7 5
7;0;251;0;0;10 3 5 7 9 2 6 4 8 1 0 10
8;0;270;19;7.56972;4 8 6 2 9 7 5 3 10 0 1 4
9;0;306;55;21.9124;2 6 4 8 1 7 9 5 3 10 0 2
10;0;251;0;0;10 3 5 7 9 2 6 4 8 1 0 10
11;0;306;55;21.9124;2 6 4 8 1 7 9 5 3 10 0 2
12;0;251;0;0;9 7 5 3 10 0 1 8 4 6 2 9
13;0;251;0;0;5 3 10 0 1 8 4 6 2 9 7 5
14;0;251;0;0;6 2 9 7 5 3 10 0 1 8 4 6
15;0;251;0;0;1 8 4 6 2 9 7 5 3 10 0 1
sredni czas [ms];blad bezwzgledny;blad bezwzgledny x2;blad wzgledny [%]
0;9.86667;19.7333;7.86189


plik:;g/gr12s.txt
wynik optymalny:;264
liczba wierzcholkow:;12
iteracja;czas [ms];wynik;blad bezwzgledny;blad wzgledny;sciezka
1;0;264;0;0;10 3 5 7 9 11 2 6 4 8 1 0 10
2;0;264;0;0;1 8 4 6 2 11 9 7 5 3 10 0 1
3;0;264;0;0;1 8 4 6 2 11 9 7 5 3 10 0 1
4;0;264;0;0;3 5 7 9 11 2 6 4 8 1 0 10 3
5;0;283;19;7.19697;4 8 6 2 11 9 7 5 3 10 0 1 4
6;0;264;0;0;0 1 8 4 6 2 11 9 7 5 3 10 0
7;0;264;0;0;8 4 6 2 11 9 7 5 3 10 0 1 8
8;0;264;0;0;2 11 9 7 5 3 10 0 1 8 4 6 2
9;0;264;0;0;7 9 11 2 6 4 8 1 0 10 3 5 7
10;0;264;0;0;1 8 4 6 2 11 9 7 5 3 10 0 1
11;0;264;0;0;3 5 7 9 11 2 6 4 8 1 0 10 3
12;0;264;0;0;6 2 11 9 7 5 3 10 0 1 8 4 6
13;0;264;0;0;3 5 7 9 11 2 6 4 8 1 0 10 3
14;0;264;0;0;3 5 7 9 11 2 6 4 8 1 0 10 3
15;0;264;0;0;11 9 7 5 3 10 0 1 8 4 6 2 11
sredni czas [ms];blad bezwzgledny;blad bezwzgledny x2;blad wzgledny [%]
0;1.26667;2.53333;0.959596


plik:;g/gr13s.txt
wynik optymalny:;269
liczba wierzcholkow:;13
iteracja;czas [ms];wynik;blad bezwzgledny;blad wzgledny;sciezka
1;0;269;0;0;11 2 6 4 8 1 12 0 10 3 5 7 9 11
2;0;269;0;0;2 11 9 7 5 3 10 0 12 1 8 4 6 2
3;0;269;0;0;1 12 0 10 3 5 7 9 11 2 6 4 8 1
4;0;269;0;0;3 5 7 9 11 2 6 4 8 1 12 0 10 3
5;0;269;0;0;5 3 10 0 12 1 8 4 6 2 11 9 7 5
6;0;269;0;0;6 2 11 9 7 5 3 10 0 12 1 8 4 6
7;0;269;0;0;6 2 11 9 7 5 3 10 0 12 1 8 4 6
8;0;269;0;0;8 4 6 2 11 9 7 5 3 10 0 12 1 8
9;0;269;0;0;3 5 7 9 11 2 6 4 8 1 12 0 10 3
10;0;269;0;0;6 2 11 9 7 5 3 10 0 12 1 8 4 6
11;0;269;0;0;12 1 8 4 6 2 11 9 7 5 3 10 0 12
12;0;269;0;0;4 8 1 12 0 10 3 5 7 9 11 2 6 4
13;0;269;0;0;11 2 6 4 8 1 12 0 10 3 5 7 9 11
14;0;269;0;0;12 1 8 4 6 2 11 9 7 5 3 10 0 12
15;0;269;0;0;10 3 5 7 9 11 2 6 4 8 1 12 0 10
sredni czas [ms];blad bezwzgledny;blad bezwzgledny x2;blad wzgledny [%]
0;0;0;0


plik:;g/gr14s.txt
wynik optymalny:;282
liczba wierzcholkow:;14
iteracja;czas [ms];wynik;blad bezwzgledny;blad wzgledny;sciezka
1;0;290;8;2.83688;4 8 1 12 0 10 3 5 7 9 11 13 2 6 4
2;0;290;8;2.83688;3 5 7 9 11 13 2 6 4 8 1 12 0 10 3
3;0;282;0;0;12 1 8 4 6 2 11 13 9 7 5 3 10 0 12
4;0;282;0;0;11 13 9 7 5 3 10 0 12 1 8 4 6 2 11
5;0;282;0;0;13 11 2 6 4 8 1 12 0 10 3 5 7 9 13
6;0;282;0;0;6 2 11 13 9 7 5 3 10 0 12 1 8 4 6
7;0;290;8;2.83688;10 3 5 7 9 11 13 2 6 4 8 1 12 0 10
8;0;282;0;0;11 13 9 7 5 3 10 0 12 1 8 4 6 2 11
9;0;282;0;0;5 3 10 0 12 1 8 4 6 2 11 13 9 7 5
10;0;290;8;2.83688;1 12 0 10 3 5 7 9 11 13 2 6 4 8 1
11;0;282;0;0;0 12 1 8 4 6 2 11 13 9 7 5 3 10 0
12;0;290;8;2.83688;4 8 1 12 0 10 3 5 7 9 11 13 2 6 4
13;0;290;8;2.83688;4 8 1 12 0 10 3 5 7 9 11 13 2 6 4
