

BADANIE;00:08:17
metoda:;nearest-neighbour
konfiguracja:;branches=2         , input_files=g/gr6.txt,g/gr7.txt,g/gr8.txt,g/gr9.txt,g/gr10.txt,g/gr11.txt,g/gr12.txt,g/gr13.txt,g/gr14.txt,g/gr15.txt,g/gr16.txt,g/gr17.txt,g/gr18.txt,g/gr19.txt,g/gr20.txt, iterations=15, max_exec_time_s=1800, search_type=2            , starting_node_bb=-1          # warto, starting_node_nn=-1          # warto, 

plik:;g/gr6.txt
wynik optymalny:;132
liczba wierzcholkow:;6
iteracja;czas [ms];wynik;blad bezwzgledny;blad wzgledny;sciezka
9;0;200;59;41.844;4 2 5 9 10 6 7 17 12 16 11 15 1 8 14 13 3 0 4
10;0;266;125;88.6525;7 9 10 6 2 5 8 4 1 12 16 11 17 3 15 13 0 14 7
11;0;266;125;88.6525;7 9 10 6 2 5 8 4 1 12 16 11 17 3 15 13 0 14 7
12;0;180;39;27.6596;8 4 2 5 9 10 6 7 17 12 16 11 15 1 14 13 3 0 8
13;0;197;56;39.7163;6 7 9 10 17 12 16 11 5 8 4 2 14 13 3 15 1 0 6
14;0;248;107;75.8865;1 12 16 11 7 9 10 6 2 5 8 4 17 3 15 13 0 14 1
15;0;205;64;45.3901;16 11 7 9 10 6 2 5 8 4 1 12 13 3 15 17 14 0 16
sredni czas [ms];blad bezwzgledny;blad bezwzgledny x2;blad wzgledny [%]
0;74.6;149.2;105.816


plik:;g/gr19.txt
wynik optymalny:;147
liczba wierzcholkow:;19
iteracja;czas [ms];wynik;blad bezwzgledny;blad wzgledny;sciezka
1;0;254;107;72.7891;15 1 12 16 11 17 7 9 10 6 2 5 8 4 0 13 3 18 14 15
2;0;209;62;42.1769;0 7 9 10 6 2 5 8 4 1 12 16 11 17 3 15 13 18 14 0
3;0;188;41;27.8912;8 4 2 5 9 10 6 7 17 12 16 11 18 0 13 3 15 1 14 8
4;0;250;103;70.068;15 1 12 16 11 7 9 10 6 2 5 8 4 17 3 13 18 0 14 15
5;0;209;62;42.1769;10 6 7 9 14 4 2 5 8 17 12 16 11 18 0 15 1 3 13 10
6;0;185;38;25.8503;14 9 10 6 7 17 12 16 11 18 0 13 3 15 1 8 4 2 5 14
7;0;187;40;27.2109;13 3 15 1 12 16 11 7 9 10 6 2 5 8 4 17 14 0 18 13
8;0;185;38;25.8503;14 9 10 6 7 17 12 16 11 18 0 13 3 15 1 8 4 2 5 14
9;0;188;41;27.8912;17 12 16 11 7 9 10 6 2 5 8 4 1 14 13 3 15 18 0 17
10;0;193;46;31.2925;13 3 15 1 12 16 11 17 7 9 10 6 2 5 8 4 0 18 14 13
11;0;243;96;65.3061;2 5 9 10 6 7 17 12 16 11 18 0 15 1 8 4 13 3 14 2
12;0;225;78;53.0612;12 16 11 7 9 10 6 2 5 8 4 1 14 13 3 15 17 0 18 12
13;0;188;41;27.8912;17 12 16 11 7 9 10 6 2 5 8 4 1 14 13 3 15 18 0 17
14;0;209;62;42.1769;0 7 9 10 6 2 5 8 4 1 12 16 11 17 3 15 13 18 14 0
15;0;187;40;27.2109;13 3 15 1 12 16 11 7 9 10 6 2 5 8 4 17 14 0 18 13
sredni czas [ms];blad bezwzgledny;blad bezwzgledny x2;blad wzgledny [%]
0;59.6667;119.333;81.1791


plik:;g/gr20.txt
wynik optymalny:;148
liczba wierzcholkow:;20
iteracja;czas [ms];wynik;blad bezwzgledny;blad wzgledny;sciezka
1;0;209;61;41.2162;3 15 1 12 16 11 7 9 10 6 2 5 8 4 19 13 18 0 17 14 3
2;0;195;47;31.7568;14 19 13 3 15 1 12 16 11 17 7 9 10 6 2 5 8 4 0 18 14
3;0;218;70;47.2973;11 7 9 10 6 2 5 8 4 19 13 3 15 1 12 16 17 14 0 18 11
4;0;173;25;16.8919;18 0 7 9 10 6 2 5 8 4 19 13 3 15 1 12 16 11 17 14 18
5;0;225;77;52.027;8 4 19 13 3 15 1 12 16 11 17 7 9 10 6 2 5 18 0 14 8
6;0;216;68;45.9459;7 9 10 6 2 5 8 4 19 13 3 15 1 12 16 11 17 14 0 18 7
7;0;200;52;35.1351;16 11 7 9 10 6 2 5 8 4 19 13 3 15 1 12 14 0 18 17 16
8;0;216;68;45.9459;8 4 19 13 3 15 1 12 16 11 7 9 10 6 2 5 18 0 17 14 8
9;0;175;27;18.2432;12 16 11 7 9 10 6 2 5 8 4 19 13 3 15 1 14 0 18 17 12
