BADANIE;00:10:47;;
metoda:;branch and bound;;
konfiguracja:;branches=3         , input_files=g/gr6.txt,g/gr7.txt,g/gr8.txt,g/gr9.txt,g/gr10.txt,g/gr11.txt,g/gr12.txt,g/gr13.txt,g/gr14.txt,g/gr15.txt,g/gr16.txt,g/gr17.txt,g/gr18.txt,g/gr19.txt,g/gr20.txt, iterations=15, max_exec_time_s=1800, search_type=2            , starting_node_bb=-1          # warto, starting_node_nn=-1          # warto, ;;
;;;
sredni czas [ms];;;
41;;;
;;;
;;;
plik:;g/gr14.txt;;
wynik optymalny:;279;;
liczba wierzcholkow:;14;;
iteracja;czas [ms];wynik;sciezka
1;33;279;3 0 1 2 9 5 10 8 13 11 12 7 6 4 3
2;32;279;8 13 11 12 7 6 4 3 0 1 2 9 5 10 8
3;42;279;2 9 5 10 8 13 11 12 7 6 4 3 0 1 2
4;28;279;9 5 10 8 13 11 12 7 6 4 3 0 1 2 9
5;41;279;12 7 6 4 3 0 1 2 9 5 10 8 13 11 12
6;41;279;10 8 13 11 12 7 6 4 3 0 1 2 9 5 10
7;41;279;12 7 6 4 3 0 1 2 9 5 10 8 13 11 12
8;34;279;3 0 1 2 9 5 10 8 13 11 12 7 6 4 3
9;31;279;8 13 11 12 7 6 4 3 0 1 2 9 5 10 8
10;44;279;2 9 5 10 8 13 11 12 7 6 4 3 0 1 2
11;33;279;1 2 9 5 10 8 13 11 12 7 6 4 3 0 1
12;41;279;12 7 6 4 3 0 1 2 9 5 10 8 13 11 12
13;33;279;1 2 9 5 10 8 13 11 12 7 6 4 3 0 1
14;29;279;9 5 10 8 13 11 12 7 6 4 3 0 1 2 9
15;36;279;6 4 3 0 1 2 9 5 10 8 13 11 12 7 6
sredni czas [ms];;;
35;;;
;;;
;;;
plik:;g/gr15.txt;;
wynik optymalny:;303;;
liczba wierzcholkow:;15;;
iteracja;czas [ms];wynik;sciezka
1;85;303;8 13 11 12 6 4 3 9 5 10 0 1 2 14 7 8
2;70;303;0 1 2 14 7 8 13 11 12 6 4 3 9 5 10 0
3;91;303;5 10 0 1 2 14 7 8 13 11 12 6 4 3 9 5
4;97;303;10 0 1 2 14 7 8 13 11 12 6 4 3 9 5 10
5;70;303;9 5 10 0 1 2 14 7 8 13 11 12 6 4 3 9
6;66;303;0 1 2 14 7 8 13 11 12 6 4 3 9 5 10 0
7;72;303;4 3 9 5 10 0 1 2 14 7 8 13 11 12 6 4
8;96;303;10 0 1 2 14 7 8 13 11 12 6 4 3 9 5 10
9;75;303;11 12 6 4 3 9 5 10 0 1 2 14 7 8 13 11
10;72;303;3 9 5 10 0 1 2 14 7 8 13 11 12 6 4 3
11;84;303;8 13 11 12 6 4 3 9 5 10 0 1 2 14 7 8
12;85;303;8 13 11 12 6 4 3 9 5 10 0 1 2 14 7 8
13;72;303;4 3 9 5 10 0 1 2 14 7 8 13 11 12 6 4
14;101;303;7 8 13 11 12 6 4 3 9 5 10 0 1 2 14 7
15;101;303;7 8 13 11 12 6 4 3 9 5 10 0 1 2 14 7
sredni czas [ms];;;
82;;;
;;;
;;;
plik:;g/gr16.txt;;
wynik optymalny:;328;;
liczba wierzcholkow:;16;;
iteracja;czas [ms];wynik;sciezka
1;171;328;6 4 3 9 5 10 0 1 2 14 7 8 13 11 15 12 6
2;155;328;14 7 8 13 11 15 12 6 4 3 9 5 10 0 1 2 14
3;172;328;8 13 11 15 12 6 4 3 9 5 10 0 1 2 14 7 8
4;170;328;7 8 13 11 15 12 6 4 3 9 5 10 0 1 2 14 7
5;184;328;12 6 4 3 9 5 10 0 1 2 14 7 8 13 11 15 12
6;117;328;0 1 2 14 7 8 13 11 15 12 6 4 3 9 5 10 0
7;154;328;1 2 14 7 8 13 11 15 12 6 4 3 9 5 10 0 1
8;152;328;14 7 8 13 11 15 12 6 4 3 9 5 10 0 1 2 14
9;169;328;6 4 3 9 5 10 0 1 2 14 7 8 13 11 15 12 6
10;147;328;4 3 9 5 10 0 1 2 14 7 8 13 11 15 12 6 4
11;180;328;12 6 4 3 9 5 10 0 1 2 14 7 8 13 11 15 12
12;171;328;8 13 11 15 12 6 4 3 9 5 10 0 1 2 14 7 8
13;149;328;11 15 12 6 4 3 9 5 10 0 1 2 14 7 8 13 11
14;198;328;10 0 1 2 14 7 8 13 11 15 12 6 4 3 9 5 10
15;170;328;8 13 11 15 12 6 4 3 9 5 10 0 1 2 14 7 8
sredni czas [ms];;;
163;;;
;;;
;;;
plik:;g/gr17.txt;;
wynik optymalny:;344;;
liczba wierzcholkow:;17;;
iteracja;czas [ms];wynik;sciezka
1;210;344;11 15 12 6 4 3 0 1 2 14 7 16 9 5 10 8 13 11
2;224;344;5 10 8 13 11 15 12 6 4 3 0 1 2 14 7 16 9 5
3;225;344;5 10 8 13 11 15 12 6 4 3 0 1 2 14 7 16 9 5
4;175;344;2 14 7 16 9 5 10 8 13 11 15 12 6 4 3 0 1 2
5;260;344;12 6 4 3 0 1 2 14 7 16 9 5 10 8 13 11 15 12
6;239;344;16 9 5 10 8 13 11 15 12 6 4 3 0 1 2 14 7 16
7;259;344;8 13 11 15 12 6 4 3 0 1 2 14 7 16 9 5 10 8
8;310;344;7 16 9 5 10 8 13 11 15 12 6 4 3 0 1 2 14 7
9;217;344;1 2 14 7 16 9 5 10 8 13 11 15 12 6 4 3 0 1
10;208;344;11 15 12 6 4 3 0 1 2 14 7 16 9 5 10 8 13 11
11;263;344;8 13 11 15 12 6 4 3 0 1 2 14 7 16 9 5 10 8
12;215;344;11 15 12 6 4 3 0 1 2 14 7 16 9 5 10 8 13 11
13;271;344;9 5 10 8 13 11 15 12 6 4 3 0 1 2 14 7 16 9
14;245;344;6 4 3 0 1 2 14 7 16 9 5 10 8 13 11 15 12 6
15;272;344;9 5 10 8 13 11 15 12 6 4 3 0 1 2 14 7 16 9
sredni czas [ms];;;
239;;;
;;;
;;;
plik:;g/gr18.txt;;
wynik optymalny:;141;;
liczba wierzcholkow:;18;;
iteracja;czas [ms];wynik;sciezka
1;117;141;10 6 14 13 3 15 2 5 8 4 1 11 17 12 16 0 7 9 10
2;121;141;10 6 14 13 3 15 2 5 8 4 1 11 17 12 16 0 7 9 10
3;120;141;10 6 14 13 3 15 2 5 8 4 1 11 17 12 16 0 7 9 10
4;117;141;13 3 15 2 5 8 4 1 11 17 12 16 0 7 9 10 6 14 13
5;124;141;0 7 9 10 6 14 13 3 15 2 5 8 4 1 11 17 12 16 0
6;157;141;8 4 1 11 17 12 16 0 7 9 10 6 14 13 3 15 2 5 8
7;119;141;3 15 2 5 8 4 1 11 17 12 16 0 7 9 10 6 14 13 3
8;154;141;15 2 5 8 4 1 11 17 12 16 0 7 9 10 6 14 13 3 15
9;129;141;14 13 3 15 2 5 8 4 1 11 17 12 16 0 7 9 10 6 14
